Genesis
[Genesis 3:16]	הֵֽרֹנֵ֔	הֵרוֹן	pregnancy	
[1 Samuel 20:3]	פֶ֔שַׂע	פֶּ֫שַׂע	step	
[1 Samuel 20:30]	מַּרְדּ֑וּת	מַרְדּוּת 1	rebellion	
[1 Samuel 21:9]	אִ֛ין	אִין	where? (alt.) whence?	
[1 Samuel 21:9]	נָחֽוּץ	נחץ	(pt.) urgent	
[1 Samuel 23:23]	מַּֽחֲבֹאִים֙	מַחֲבֹא	hideout	
[1 Samuel 25:31]	פוּקָה֩	פּוּקָה	obstacle	

2 Samuel
[2 Samuel 1:9]	שָּׁבָ֑ץ	שָׁבָץ	dizziness, trembling; weakness	
[2 Samuel 2:24]	אַמָּ֔ה	אַמָּה 2	canal	
[2 Samuel 2:29]	בִּתְר֔וֹן	בִּתְרוֹן	forenoon; (trad.) ravine	
[2 Samuel 3:27]	שֶּׁ֑לִי	שְׁלִי	tranquility, rest	
[2 Samuel 5:24]	תֶּחֱרָ֑ץ	חרץ 2	to do something with enthusiasm, “pay attention!”	
[2 Samuel 6:5]	מְנַֽעַנְעִ֖ים	מְנַעַנְעִים	sistrum; rattle	
[2 Samuel 6:7]	שַּׁ֑ל	שַׁל	error; hastiness; impudence ; blasphemy ?	
[2 Samuel 12:15]	יֵּאָנַֽשׁ	אנשׁ 1	to be sickly	
[2 Samuel 12:31]	מַגְזְרֹ֣ת	מַגְזֵרָה	axe	
[2 Samuel 12:31]	בַּמַּלְכֵּן	מַלְכֵּן	(error for) brick-mould; clay floor	
[2 Samuel 13:9]	מַּשְׂרֵת֙	מַשְׂרֵת	baking tray	
[2 Samuel 16:13]	עִפַּ֖ר	עפר	to throw earth at someone	
[2 Samuel 17:20]	מִיכַ֣ל	מִיכָל	collection, container, hoard; (alt.) brook, stream	
[2 Samuel 17:29]	שְׁפ֣וֹת	שְׁפוֹת	hard cheese or curd cheese	
[2 Samuel 18:9]	שׂוֹבֶךְ֩	שׂוֹבֶךְ	branches	
[2 Samuel 19:33]	שִׁיבָת֣	שִׁיבָה 2	dwelling; staying	
[2 Samuel 20:3]	חַיּֽוּת	חַיּוּת	lifetime	
[2 Samuel 20:13]	הֹגָ֖ה	יגה 2	to remove	
[2 Samuel 20:14]	וַיִּקָּלְהוּ	קלהּ	to assemble	
[2 Samuel 21:16]	קֵינ	קַ֫יִן 1	lance, spear	
[2 Samuel 22:12]	חַֽשְׁרַת	חַשְׁרָה	wing, sieve	
[2 Samuel 22:27]	תִּתַּפָּֽל	תפל	to exhibit stupid behavior	
[2 Samuel 23:6]	ק֥וֹץ	קוֹץ 2	wick trimmings; (alt.) thorns	
[2 Samuel 23:8]	הָעֶצְנוֹ	עֵ֫צֶן	battle-axe, spear	

1 Kings
[1 Kings 1:40]	מְחַלְּלִ֣ים	חלל 3	to play the flute	
[1 Kings 3:6]	יִשְׁרַ֥ת	יִשְׁרָה	uprightness	
[1 Kings 5:3]	רְעִ֖י	רְעִי	pasturage	
[1 Kings 5:3]	בַרְבֻּרִ֖ים	בַּרְבֻּר	cuckoo; goose; young chickens	
[1 Kings 5:23]	דֹּבְר֤וֹת	דֹּבְרוֹת	raft	
[1 Kings 5:25]	מַכֹּ֣לֶת	מַכֹּ֫לֶת	feed, food	
[1 Kings 6:6]	מִגְרָעוֹת֩	מִגְרָע	niche, truncation	
[1 Kings 6:8]	לוּלִּ֗ים	לוּל	trapdoor	
[1 Kings 6:9]	גֵּבִ֔ים	גֵּב 2	tech term, trad.: ornamental panel, paneled ceiling	
[1 Kings 6:15]	סִּפֻּ֔ן	סִפֻּן	ceiling	
[1 Kings 7:5]	שָׁ֑קֶף	שֶׁ֫קֶף	a wall opening for a door or window; (alt.) upper beam, door-jamb	
[1 Kings 7:9]	מַּסָּד֙	מַסָּד	foundation	
[1 Kings 7:9]	טְּפָח֔וֹת	טַפְחָה 2	architectural term: parapet, console, support?	
[1 Kings 7:24]	יצֻקָתֽ	יְצֻקָה	cast (metal)	
[1 Kings 7:30]	סַרְנֵ֣י	סֶ֫רֶן 1	axle	
[1 Kings 7:33]	חִשֻּׁקֵי	חִשֻּׁק	spoke of a wheel	
[1 Kings 7:33]	חִשֻּׁרֵי	חִשֻּׁר	hub of a wheel	
[1 Kings 7:45]	הָאֹהֶל	אֵ֫הֶל	these	
[1 Kings 7:46]	מַעֲבֵ֖ה	מַעֲבֶה	earth foundry	
[1 Kings 10:12]	מִסְעָ֤ד	מִסְעָד	parapet	
[1 Kings 10:15]	מִסְחַ֖ר	מִסְחַר	merchandise; trading profit	
[1 Kings 10:18]	מוּפָֽז	פזז 1	(pt.) overlaid with fine gold	
[1 Kings 11:2]	אָכֵן֙	אָכֵן 2	so that	
[1 Kings 12:15]	סִבָּה֙	סִבָּה	turn of events, providence	
[1 Kings 14:4]	שֵּׂיבֹֽ	שֵׂיב	gray-headedness, old age	
[1 Kings 18:21]	סְּעִפִּים֒	סְעִפִּים	crutches	
[1 Kings 18:27]	יְהַתֵּ֧ל	התל	to mock	
[1 Kings 18:27]	שִׂ֛יג	שִׂיג	defecating; journeying, departing	
[1 Kings 18:46]	יְשַׁנֵּ֖ס	שׁנס	to gird	
[1 Kings 19:6]	רְצָפִ֖ים	רֶ֫צֶף 1	glowing coal	
[1 Kings 19:8]	אֲכִילָ֣ה	אֲכִילָה	food	
[1 Kings 20:10]	יִשְׂפֹּק֙	שׂפק 2	to reach, be sufficient; to have an abundance/surfeit	
[1 Kings 20:27]	חֲשִׂפֵ֣י	חָשִׂף	kid dropped prematurely; usu. little flock	
[1 Kings 20:33]	יַּחְלְט֣וּ	חלט	to accept	

2 Kings
[2 Kings 2:8]	יִּגְלֹם֙	גלם	to wrap	
[2 Kings 2:20]	צְלֹחִ֣ית	צְלֹחִית	a small or medium sized bowl; (alt.) bottle, jar, jug	
[2 Kings 3:25]	קַּלָּעִ֖ים	קַלָּע	slinger	
[2 Kings 4:2]	אָס֥וּךְ	אָסוּךְ	small jar	
[2 Kings 4:35]	יְזוֹרֵ֤ר	זרר 2	to sneeze	
[2 Kings 4:39]	אֹרֹת֒	אוֹרָה 2	mallow	
[2 Kings 4:39]	פַּקֻּעֹ֥ת	פַּקֻּעֹת	gourd	
[2 Kings 4:42]	צִקְלֹנ֑	צִקָּלוֹן	satchel, bag, bread-bag, saddle-bag	
[2 Kings 6:8]	תַּחֲנֹתִֽי	תַּחֲנֹת	camp	
[2 Kings 6:9]	נְחִתִּֽים	נְחִתִּים	descending	
[2 Kings 6:13]	אֵיכֹ֣ה	אֵיכֹה	where?	
[2 Kings 6:23]	יִּכְרֶ֨ה	כרה 3	to give a feast	
[2 Kings 6:23]	כֵּרָ֣ה	כֵּרָה	feast	
[2 Kings 6:25]	רֹ֛בַע	רֹ֫בַע 1	quarter, fourth part	
[2 Kings 6:25]	קַּ֥ב	קַב	kab (unit of capacity: 1/6th of a seah ~ two liters)	
[2 Kings 8:15]	מַּכְבֵּר֙	מַכְבֵּר	cover, mat	
[2 Kings 9:30]	תָּ֨שֶׂם	סמם	to paint the face, colour; to spread a paste or aromatic cream	
[2 Kings 10:8]	צִבֻּרִ֛ים	צִבֻּר	heap	
[2 Kings 10:19]	עָקְבָּ֔ה	עָקְבָּה	guile	
[2 Kings 10:22]	מֶּלְתָּחָ֔ה	מֶלְתָּחָה	wardrobe	
[2 Kings 10:27]	לְמַחֲרָאוֹת	מַחֲרָאָה	latrine	
[2 Kings 11:6]	מַסָּֽח	מַסָּח	alternating	
[2 Kings 15:10]	קָֽבָלְ	קָבָל	in front of	
[2 Kings 16:17]	מַרְצֶ֥פֶת	מַרְצֶ֫פֶת	plastered stone, plastered floor	
[2 Kings 16:18]	מֵיסַךְ	מֵיסַךְ	covered walk	
[2 Kings 17:9]	יְחַפְּא֣וּ	חפא	to ascribe, impute	
[2 Kings 17:21]	וַיַּדֵּא	נדא	to separate, perpetrate disloyalty	
[2 Kings 18:16]	אֹ֣מְנ֔וֹת	אֹמְנָה	mounting (or a doorpost)	
[2 Kings 19:26]	שְׁדֵפָ֖ה	שְׁדֵפָה	scorching, heat	
[2 Kings 19:29]	סָחִ֑ישׁ	סָחִישׁ	self-seeded plant	
[2 Kings 23:5]	מַּזָּל֔וֹת	מַזָּל	constellations of the zodiac	
[2 Kings 24:15]	אֱוִלֵי	אֱוִיל 2	man, citizen	

Isaiah
[Isaiah 1:6]	זֹ֙רוּ֙	זרר 1	to be pressed out	
[Isaiah 1:17]	חָמ֑וֹץ	חָמוֹץ	oppressor	
[Isaiah 1:22]	מָה֥וּל	מהל	(pt. pass.) diluted, watered down	
[Isaiah 1:23]	שַׁלְמֹנִ֑ים	שַׁלְמֹנִים	bribes	
[Isaiah 1:25]	בְּדִילָֽי	בָּדִיל	slag	
[Isaiah 1:31]	נִיצ֑וֹץ	נִיצוֹץ	spark	
[Isaiah 2:12]	שָׁפֵֽל	שָׁפֵל	low	
[Isaiah 2:16]	שְׂכִיּ֥וֹת	שְׂכִיָּה	ship	
[Isaiah 2:19]	מְחִלּ֖וֹת	מְחִלָּה	hole, cave	
[Isaiah 2:20]	חְפֹּ֥ר פֵּר֖וֹת	חֲפַרְפָּרָה	shrew	
[Isaiah 3:1]	מַשְׁעֵ֖ן	מַשְׁעֵן	support	
[Isaiah 3:1]	מַשְׁעֵנָ֑ה	מַשְׁעֵנָה	support	
[Isaiah 3:3]	חֲרָשִׁ֖ים	חֶ֫רֶשׁ 1	magic; magician	
[Isaiah 3:9]	הַכָּרַ֤ת	הַכָּרָה	bias, partiality	
[Isaiah 3:16]	מְשַׂקְּר֖וֹת	שׂקר	to make seductive glances, ogle, blink, wink; to paint the eyes with a red colour, use facial make-up	
[Isaiah 3:16]	טָפֹף֙	טפף 1	to mince along, trip along	
[Isaiah 3:16]	תְּעַכַּֽסְנָה	עכס	to walk with jingling anklets; (alt.) to hop	
[Isaiah 3:17]	שִׂפַּ֣ח	שׂפח	to make scabby; (alt.) to bare, strip, lay bare	
[Isaiah 3:18]	שְּׁבִיסִ֖ים	שָׁבִיס	small sun disc as jewelry or amulet	
[Isaiah 3:19]	שֵּׁיר֖וֹת	שֵׁר	arm clasp, bangle	
[Isaiah 3:19]	רְעָלֽוֹת	רְעָלָה	veil	
[Isaiah 3:22]	מַּ֣עֲטָפ֔וֹת	מַעֲטֶ֫פֶת	outer garment	
[Isaiah 3:24]	נִקְפָּה֙	נִקְפָּה	cord	
[Isaiah 3:24]	מִקְשֶׁה֙	מִקְשֶׁה	locks of hair	
[Isaiah 3:24]	פְּתִיגִ֖יל	פְּתִיגִיל	a magnificent garment	
[Isaiah 3:24]	מַחֲגֹ֣רֶת	מַחֲגֹ֫רֶת	robe	
[Isaiah 3:24]	כִּי	כִּי 1	branding	
[Isaiah 4:6]	מִסְתּ֔וֹר	מִסְתּוֹר	hiding-place, shelter	
[Isaiah 5:2]	יְעַזְּקֵ֣	עזק	to dig over; to hoe, weed	
[Isaiah 5:5]	מְשׂוּכָּת	מְשׂוּכָּה	thorn-hedge	
[Isaiah 5:6]	בָתָ֗ה	בָּתָה	devastation, wasteland	
[Isaiah 5:7]	מִשְׂפָּ֔ח	מִשְׂפָּח	legal infringement; (trad.) shedding of blood	
[Isaiah 5:13]	צִחֵ֥ה	צִחֶה	dried up, parched	
[Isaiah 5:14]	עָלֵ֥ז	עָלֵז	exulting, triumphing	
[Isaiah 5:28]	צַּ֣ר	צַר 3	flint	
[Isaiah 5:30]	עֲרִיפֶֽי	עֲרִיפִים	falling drops; clouds	
[Isaiah 6:6]	רִצְפָּ֑ה	רִצְפָּה 1	glowing coal	
[Isaiah 6:13]	שַׁלֶּ֙כֶת֙	שַׁלֶּ֫כֶת 1	the felling of a tree; fallenness	
[Isaiah 7:2]	נָ֥חָֽה	נחה 2	to stand by	
[Isaiah 7:6]	נְקִיצֶ֔	קוץ 2	to gape open; to demolish	
[Isaiah 7:11]	שְׁאָ֔לָה	שְׁאָ֑לָה	request	
[Isaiah 7:19]	בַּתּ֔וֹת	בַּתָּה	precipice, cliff	
[Isaiah 7:19]	נַּהֲלֹלִֽים	נַהֲלֹל 1	drinking place, watering place	
[Isaiah 7:20]	שְּׂכִירָ֜ה	שְׂכִירָה	hiring, what is hired	
[Isaiah 7:25]	מַּעְדֵּר֙	מַעְדֵּר	plow	
[Isaiah 8:8]	מֻטּ֣וֹת	מֻטָּה	spreading	
[Isaiah 8:20]	שָֽׁחַר	שַׁ֫חַר 3	magic, power	
[Isaiah 8:22]	מְע֣וּף	מְעוּף	gloom; with no brightness	
[Isaiah 8:23]	מוּעָף֮	מוּעָף	gleam, luster	
[Isaiah 9:4]	סְאוֹן֙	סְאוֹן	boot	
[Isaiah 9:4]	סֹאֵ֣ן	סאן	to march along	
[Isaiah 9:6]	לַם	לַם	(dittograph from shalom/peace?)	
[Isaiah 9:17]	יִּֽתְאַבְּכ֖וּ	אבך	to swirl, roll	
[Isaiah 9:18]	נֶעְתַּ֣ם	עתם	(trad.) to be scorched; (alt.) to be dark, be bent down, to be submerged	
[Isaiah 9:19]	יִּגְזֹ֤ר	גזר 2	to devour	
[Isaiah 10:15]	מַּשּׂוֹר֙	מַשּׂוֹר	saw	
[Isaiah 10:18]	נֹסֵֽס	נסס 1	to stagger, despair	
[Isaiah 10:25]	תַּבְלִית	תַּבְלִית	destruction	
[Isaiah 10:33]	מְסָעֵ֥ף	סעף 2	to cut off branches, lop	
[Isaiah 10:33]	פֻּארָ֖ה	פֻּארָה	foliage; leafy branches	
[Isaiah 10:33]	מַעֲרָצָ֑ה	מַעֲרָצָה	terrifying power	
[Isaiah 11:3]	מִשְׁמַ֥ע	מִשְׁמָע 1	hearsay, rumor	
[Isaiah 11:8]	מְאוּרַ֣ת	מְאוּרָה	hole, cave	
[Isaiah 11:8]	הָדָֽה	הדה	to put out (one’s hand)	
[Isaiah 11:15]	עְיָ֣ם	עֲיָם	(uncertain) mighty, scorching; cloud, anger, thirst	
[Isaiah 13:21]	אֹחִ֑ים	אֹחַ	howling desert animals	
[Isaiah 13:22]	אַלְמנוֹתָ֔י	אַלְמָן 2	palace	
[Isaiah 14:4]	מַדְהֵבָֽה	מַדְהֵבָה	onslaught	
[Isaiah 14:6]	סָרָ֑ה	סָרָה 1	cessation	
[Isaiah 14:6]	מֻרְדָּ֖ף	מֻרְדָּף	persecution	
[Isaiah 14:11]	הֶמְיַ֣ת	הֶמְיָה	sound; noise, wailing; (pl.) riotous places	
[Isaiah 14:12]	הֵילֵ֣ל	הֵילֵל	the morning-star or crescent moon	
[Isaiah 14:19]	מְטֹ֣עֲנֵי	טען 1	(pt.) pierced	
[Isaiah 14:21]	מַטְבֵּ֖חַ	מַטְבֵּחַ	place for slaughter	
[Isaiah 14:23]	טֵֽאטֵאתִ֙י	טאטא	to sweep away	
[Isaiah 14:23]	מַטְאֲטֵ֣א	מַטְאֲטֵא	broom	
[Isaiah 14:29]	צֶ֔פַע	צֶ֫פַע	a poisonous snake, viper	
[Isaiah 14:31]	מוֹעָדָֽי	מוֹעָד	multitude; place of assembly ?	
[Isaiah 15:4]	יָ֥רְעָה	ירע	to quiver, be apprehensive	
[Isaiah 16:3]	פְלִילָ֔ה	פְּלִילָה	decision; (alt.) opinion	
[Isaiah 16:4]	מֵּץ֙	מֵץ	squeezer; extortioner, oppressor	
[Isaiah 16:6]	גֵּ֣א	גֵּא	arrogant	
[Isaiah 16:7]	אֲשִׁישֵׁ֧י	אָשִׁישׁ	man	
[Isaiah 16:7]	נְכָאִֽים	נָכָא	utterly destroyed	
[Isaiah 16:8]	שְׁלֻ֣חוֹתֶ֔י	שְׁלֻחוֹת	tendril	
[Isaiah 17:1]	מְעִ֥י	מְעִי	(trad.) ruin-heap; (alt. dittography)	
[Isaiah 17:6]	גַּרְגְּרִ֖ים	גַּרְגֵּר	ripe olives	
[Isaiah 17:10]	נַעֲמָנִ֔ים	נַעֲמָנִים	pleasantness; alt. Adonis	
[Isaiah 17:11]	תְּשַׂגְשֵׂ֔גִי	שׂגג	to cause to grow, cause to increase, rear	
[Isaiah 17:11]	נַחֲלָ֖ה	נַחֲלָה 2	chronic illness	
[Isaiah 18:5]	זַּלְזַלִּים֙	זַלְזַל	shoot (of the vine)	
[Isaiah 18:5]	הֵתַֽז	תזז	to tear away	
[Isaiah 18:6]	קָ֤ץ	קיץ 1	to pass the summer	
[Isaiah 18:6]	תֶּחֱרָֽף	חרף 1	to (spend the time of) winter	
[Isaiah 19:3]	אִטִּ֔ים	אִטִּים	spirit of a dead person	
[Isaiah 19:4]	סִכַּרְתִּי֙	סכר 2	to hand over	
[Isaiah 19:6]	הֶאֶזְנִ֣יחוּ	זנח 1	to become foul-smelling	
[Isaiah 19:7]	עָר֥וֹת	עָרָה	reed	
[Isaiah 19:7]	מִזְרַ֣ע	מִזְרָע	sown land	
[Isaiah 19:9]	שְׂרִיק֑וֹת	שָׂרִיק	combed	
[Isaiah 19:9]	חוֹרָֽי	חוֹרָ֑י	white stuff	
[Isaiah 19:10]	אַגְמֵי	אָגֵם	grieved	
[Isaiah 19:14]	עִוְעִ֑ים	עִוְעִים	confusion	
[Isaiah 19:17]	חָגָּ֔א	חָגָּא	shame, confusion	
[Isaiah 21:5]	צָּפִ֖ית	צָפִית	tables; seats; cushions	
[Isaiah 21:10]	מְדֻשָׁת	מְדֻשָׁה	trampled on	
[Isaiah 22:5]	מְקַרְקַ֥ר	קרר 1	to ruin, pull down; (alt.) to shout	
[Isaiah 22:5]	קִ֖ר	קִר	noise	
[Isaiah 22:5]	שׁ֥וֹעַ	שׁוֹעַ 2	cry for help; scream	
[Isaiah 22:11]	מִקְוָ֣ה	מִקְוָה	collecting pool, reservoir	
[Isaiah 22:17]	טַלְטֵלָ֖ה	טַלְטֵלָה	violent ejection	
[Isaiah 22:18]	צְנֵפָ֔ה	צְנֵפָה	bundle, winding, compress; (alt) footstep	
[Isaiah 22:18]	כַּדּ֕וּר	כַּדּוּר	ball of thread, ball	
[Isaiah 22:24]	צְּפִע֔וֹת	צְפִיעָה	the wild shoots of a tree; leaf	
[Isaiah 23:8]	כִּנְעָנֶ֖י	כִּנְעָן	tradesman	
[Isaiah 23:10]	מֵ֥זַח	מֵ֫זַח 1	wharf, shipyard; harbor	
[Isaiah 23:11]	מָעֻזְנֶֽי	מָעוֹזֶן	refuge, sanctuary	
[Isaiah 23:13]	בְחִינָיו	בַּחִין	siege tower	
[Isaiah 23:18]	יֵֽחָסֵ֑ן	חסן	to be stored up	
[Isaiah 23:18]	עָתִֽיק	עָתִיק	sacred, magnificent	
[Isaiah 24:1]	בֽוֹלְקָ֑	בלק	to lay waste; (pu. pt.) devastation	
[Isaiah 24:6]	חָרוּ֙	חרה 2	to diminish in number	
[Isaiah 24:12]	שְׁאִיָּ֖ה	שְׁאִיָּה	desolation	
[Isaiah 24:22]	אֲסֵפָ֤ה	אֲסֵפָה	incarceration	
[Isaiah 25:1]	אֹֽמֶן	אֹ֫מֶן	trustworthiness	
[Isaiah 25:6]	מְמֻ֣חָיִ֔ם	מחה 3	(pt.) flavored with marrow	
[Isaiah 25:7]	לּ֥וֹט	לוֹט 1	covering	
[Isaiah 25:10]	מַתְבֵּ֖ן	מַתְבֵּן	heap of straw	
[Isaiah 25:10]	מַדְמֵנָֽה	מַדְמֵנָה 1	dung-heap	
[Isaiah 25:11]	אָרְבּ֥וֹת	אָרְבָּה	(nimble) movements	
[Isaiah 26:20]	חֲבִ֥י	חבה	to hide oneself	
[Isaiah 27:1]	עֲקַלָּת֑וֹן	עֲקַלָּתוֹן	writhing	
[Isaiah 27:4]	אֶפְשְׂעָ֥ה	פשׂע	to stride	
[Isaiah 27:4]	אֲצִיתֶ֥	צות	to set fire to, set on fire	
[Isaiah 27:8]	סַאסְּאָ֖ה	סַאסְּאָה	scare, startling experience	
[Isaiah 27:9]	גִר֙	גִּר	lime	
[Isaiah 28:2]	שַׂ֣עַר	שַׂ֫עַר 2	storm bringing destruction	
[Isaiah 28:4]	צִיצַ֤ת	צִיצָה	flower	
[Isaiah 28:7]	רֹאֶ֔ה	רֹאֶה 2	face, vision	
[Isaiah 28:7]	פְּלִילִיָּֽה	פְּלִילִיָּה	verdict, decision; (alt.) presentation of a case, conclusion	
[Isaiah 28:12]	מַּרְגֵּעָ֑ה	מַרְגֵּעָה	resting place	
[Isaiah 28:15]	חֹזֶ֑ה	חֹזֶה 2	agreement; (trad.) viewing	
[Isaiah 28:16]	בֹּ֜חַן	בֹּ֫חַן 2	tried and tested (stone); touchstone; (fine grained) schist-gneiss	
[Isaiah 28:17]	יָעָ֤ה	יעה	to sweep away	
[Isaiah 28:20]	מַּצָּ֖ע	מַצָּע	couch	
[Isaiah 28:25]	שׂוֹרָה֙	שׂוֹרָה	a type of grain: durra, millet, guinea corn?	
[Isaiah 28:25]	נִסְמָ֔ן	סמן	(pt.) something marked off, appointed place	
[Isaiah 28:28]	גִּלְגַּ֧ל	גִּלְגָּל 1	cart-wheel	
[Isaiah 29:3]	דּ֖וּר	דּוּר	ball	
[Isaiah 29:21]	יְקֹשׁ֑וּן	קושׁ	to trap with a snare	
[Isaiah 29:22]	יֶחֱוָֽרוּ	חור	to grow pale	
[Isaiah 30:3]	חָס֥וּת	חָסוּת	refuge	
[Isaiah 30:6]	דַּבֶּ֤שֶׁת	דַּבֶּ֫שֶׁת 1	hump (of a camel)	
[Isaiah 30:9]	כֶּחָשִׁ֑ים	כֶּחָשׁ	lying	
[Isaiah 30:10]	מַהֲתַלּֽוֹת	מַהֲתַלָּה	deception	
[Isaiah 30:14]	מְכִתָּת	מְכִתָּה	fragment	
[Isaiah 30:14]	יָּק֔וּד	יָקוּד	fireplace	
[Isaiah 30:15]	שׁוּבָ֤ה	שׁוּבָה	turning back; retirement, withdrawal	
[Isaiah 30:15]	בִטְחָ֔ה	בִּטְחָה	confidence	
[Isaiah 30:20]	יִכָּנֵ֥ף	כנף	to hide oneself	
[Isaiah 30:22]	צֵ֖א	צֵא	filth; (alt. imp.) Go!	
[Isaiah 30:24]	חָמִ֖יץ	חָמִיץ	sorrel	
[Isaiah 30:24]	רַ֖חַת	רַ֫חַת	winnowing shovel	
[Isaiah 30:26]	מַ֥חַץ	מַ֫חַץ	blow	
[Isaiah 30:27]	מַשָּׂאָ֑ה	מַשָּׂאָה	lifting up, exaltation	
[Isaiah 30:28]	הֲנָפָ֥ה	הֲנָפָה	waving (of the offering)	
[Isaiah 30:28]	נָ֣פַת	נָפָה 1	sieve	
[Isaiah 30:30]	נַ֤חַת	נַ֫חַת 1	lowering	
[Isaiah 30:30]	נֶ֥פֶץ	נֶ֫פֶץ	pattering	
[Isaiah 32:2]	מַֽחֲבֵא	מַחֲבֵא	refuge	
[Isaiah 32:4]	עִלְּגִ֔ים	עִלֵּג	stammerer	
[Isaiah 32:6]	חֹ֗נֶף	חֹ֫נֶף	ungodliness	
[Isaiah 32:14]	בַ֜חַן	בַּ֫חַן	watch-tower	
[Isaiah 32:14]	מְעָרוֹת֙	מְעָרָה 2	cleared field	
[Isaiah 32:19]	בָרַ֖ד	ברד	(pf.) it hails	
[Isaiah 32:19]	שִּׁפְלָ֖ה	שִׁפְלָה	a state of humiliation	
[Isaiah 33:1]	נְּלֹת	נלה	to complete, bring to an end	
[Isaiah 33:3]	ר֣וֹמְמֻת	רוֹמֵמֻת	exaltation, grandeur, majesty, pride	
[Isaiah 33:4]	מַשַּׁ֥ק	מַשָּׁק	infestation	
[Isaiah 33:4]	גֵּבִ֖ים	גֵּבָה	swarm	
[Isaiah 33:7]	אֶרְאֶלָּ֔	אֶרְאֶלָּם	heroes or priests or inhabitants of Jerusalem	
[Isaiah 33:12]	כְּסוּחִ֖ים	כסח	to cut off	
[Isaiah 33:19]	נוֹעָ֖ז	יעז	(pt.) insolent	
[Isaiah 33:20]	יִצְעָן֙	צען	to (have to) pack up, break off	
[Isaiah 33:21]	שַׁ֔יִט	שַׁ֫יִט	oar	
[Isaiah 34:4]	נֹבֶ֖לֶת	נֹבֶ֫לֶת	withered fruit	
[Isaiah 34:15]	קִפּוֹז֙	קִפּוֹז	tree snake, arrow snake; owl, bird of the Arabian desert	
[Isaiah 35:8]	מַסְל֣וּל	מַסְלוּל	street, road	
[Isaiah 37:30]	שָׁחִ֑יס	שָׁחִיס	self-seeded plants	
[Isaiah 38:10]	דְמִ֥י	דְּמִי	half	
[Isaiah 38:11]	חָֽדֶל	חֶ֫דֶל	world; trad. underworld	
[Isaiah 38:12]	דּוֹרִ֗	דּוֹר 1	(circular) tent-camp, dwelling-place	
[Isaiah 38:12]	קִפַּ֨דְתִּי	קפד	to roll up	
[Isaiah 38:14]	עָֽשְׁקָה	עָֽשְׁקָ֫ה	oppression	
[Isaiah 38:21]	יִמְרְח֥וּ	מרח	to spread on	
[Isaiah 40:4]	רְכָסִ֖ים	רֶ֫כֶס	hilly, uneven terrain; boulders, ridges	
[Isaiah 40:15]	מַ֣ר	מַר 2	speck	
[Isaiah 40:19]	רְתֻק֥וֹת	רְתֻקָה	chain	
[Isaiah 40:20]	מְסֻכָּ֣ן	מְסֻכָּן	who sets up an image; (trad.) who is too poor, impoverished	
[Isaiah 40:22]	דֹּק֙	דֹּק	veil?, gauze?	
[Isaiah 40:22]	יִּמְתָּחֵ֥	מתח	to spread, stretch out	
[Isaiah 41:9]	אֲצִילֶ֖י	אָצִיל 1	remotest parts (of the earth)	
[Isaiah 41:12]	מַצֻּת	מַצּוּת	strife	
[Isaiah 41:21]	עֲצֻמ֣וֹתֵי	עֲצֻמוֹת	evidence (in a legal decision)	
[Isaiah 41:24]	אָ֑פַע	אֶ֫פַע	something worthless; chaotic	
[Isaiah 42:11]	יִצְוָֽחוּ	צוח	to shout loudly	
[Isaiah 42:14]	אֶפְעֶ֔ה	פעה	to moan	
[Isaiah 42:14]	אֶשֹּׁ֥ם	נשׁם	to pant, puff	
[Isaiah 42:16]	מַֽעֲקַשִּׁים֙	מַעֲקַשִּׁים	uneven land, rough ground	
[Isaiah 42:22]	הָפֵ֤חַ	פחח	to be trapped, ensnared	
[Isaiah 44:8]	תִּרְה֔וּ	ירהּ	to be paralyzed with fear	
[Isaiah 44:13]	שֶּׂ֔רֶד	שֶׂ֫רֶד	awl, stylus; (alt.) red ochre (pencil)	
[Isaiah 44:13]	מַּקְצֻע֔וֹת	מַקְצֻעָה	knife	
[Isaiah 44:13]	מְּחוּגָ֖ה	מְחוּגָ	circle	
[Isaiah 44:14]	תִּרְזָה֙	תִּרְזָה	a type of tree: oak, cypress	
[Isaiah 44:14]	אֹ֖רֶן	אֹ֫רֶן 1	laurel	
[Isaiah 44:18]	טַ֤ח	טחח	to be besmeared	
[Isaiah 44:19]	ב֥וּל	בּוּל 2	wood block	
[Isaiah 44:27]	צּוּלָ֖ה	צוּלָה	abyss, depths	
[Isaiah 45:2]	הֲדוּרִ֖ים	הֲדוּרִים	mountainous land	
[Isaiah 45:6]	מַּ֣עֲרָבָ֔ה	מַעֲרָבָה	sunset, the west	
[Isaiah 46:1]	נְשֻׂאֹתֵי	נְשׂוּאָה	burdens	
[Isaiah 46:6]	זָּלִ֤ים	זול	to pour out, lavish	
[Isaiah 46:8]	הִתְאֹשָׁ֑שׁוּ	אשׁשׁ 2	to pluck up courage	
[Isaiah 47:2]	שֹׁ֛בֶל	שֹׁ֫בֶל	the train of a dress, the hem of a skirt	
[Isaiah 47:8]	עֲדִינָה֙	עָדִין 1	luxuriant, accustomed to a good life	
[Isaiah 47:9]	אַלְמֹ֑ן	אַלְמֹן	widowhood	
[Isaiah 47:11]	שַׁחְרָ֔	שׁחר 3	to cause to disappear by magic; to cover up evil, avert disaster	
[Isaiah 48:5]	עָצְבִּ֣	עֹ֫צֶב 1	false god	
